propertyCode;thumbnail;externalReference;numPhotos;floor;price;propertyType;operation;size;exterior;rooms;bathrooms;address;province;municipality;district;country;latitude;longitude;showAddress;url;hasVideo;status;newDevelopment;hasLift
38603347;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c6/33/c7/239462211.jpg;Palau - 2C;22;2;2000.0;duplex;rent;148.0;True;2;2;Calle dels Guixers, 10;Balears (Illes);Palma de Mallorca;Ciutat Antigua;es;39.5710338;2.6482935;True;https://www.idealista.com/inmueble/38603347/;False;good;False;True
38603600;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/71/d1/e3/239467076.jpg;Palau - 2D;11;2;1500.0;duplex;rent;80.0;True;1;2;Calle dels Guixers, 10;Balears (Illes);Palma de Mallorca;Ciutat Antigua;es;39.5710338;2.6482935;True;https://www.idealista.com/inmueble/38603600/;False;good;False;True
38604089;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/bb/dc/36/239474420.jpg;Palau - 3A;22;3;2200.0;duplex;rent;155.0;True;3;3;Calle dels Guixers, 10;Balears (Illes);Palma de Mallorca;Ciutat Antigua;es;39.5710338;2.6482935;True;https://www.idealista.com/inmueble/38604089/;False;good;False;True
38604495;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/cd/37/94/239480113.jpg;Palau - 3B;17;3;2200.0;flat;rent;155.0;True;3;2;Calle dels Guixers, 10;Balears (Illes);Palma de Mallorca;Ciutat Antigua;es;39.5710338;2.6482935;True;https://www.idealista.com/inmueble/38604495/;False;good;False;True
38604622;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ae/ba/32/239481663.jpg;Palau - 3D;7;3;1500.0;duplex;rent;82.0;True;1;2;Calle dels Guixers, 10;Balears (Illes);Palma de Mallorca;Ciutat Antigua;es;39.5710338;2.6482935;True;https://www.idealista.com/inmueble/38604622/;False;good;False;True
38604866;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/08/76/21/239485640.jpg;Palau - 4A;24;4;2200.0;duplex;rent;120.0;True;2;2;Calle dels Guixers, 10;Balears (Illes);Palma de Mallorca;Ciutat Antigua;es;39.5710338;2.6482935;True;https://www.idealista.com/inmueble/38604866/;False;good;False;True
38605465;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/63/01/1a/239496790.jpg;Palau - 4B;14;4;1500.0;duplex;rent;80.0;True;1;2;Calle dels Guixers, 10;Balears (Illes);Palma de Mallorca;Ciutat Antigua;es;39.5710338;2.6482935;True;https://www.idealista.com/inmueble/38605465/;False;good;False;True
38605560;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4a/4b/2e/239497999.jpg;Palau - 4C;12;4;1500.0;penthouse;rent;75.0;True;1;1;Calle dels Guixers, 10;Balears (Illes);Palma de Mallorca;Ciutat Antigua;es;39.5710338;2.6482935;True;https://www.idealista.com/inmueble/38605560/;False;good;False;True
38652129;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/52/82/99/240244395.jpg;NA;24;NA;900.0;chalet;rent;90.0;False;2;1;Diseminado Poligono 8, 1;Balears (Illes);Inca;Zona periurbana;es;39.7308353;2.9402825;True;https://www.idealista.com/inmueble/38652129/;False;good;False;NA
38685157;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/09/aa/bd/601876232.jpg;A1;10;bj;1050.0;flat;rent;65.0;True;1;1;barrio Les Maravelles;Balears (Illes);Palma de Mallorca;Playa de Palma;es;39.5204816;2.7418334;False;https://www.idealista.com/inmueble/38685157/;False;good;False;True
37089316;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4c/fa/4f/209720498.jpg;1;35;NA;9850.0;countryHouse;rent;600.0;False;6;6;Carretera Esporles-Establiments, 4 ,3;Balears (Illes);Esporles;NA;es;39.6587435;2.5884624;True;https://www.idealista.com/inmueble/37089316/;False;good;False;NA
38661868;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a0/f5/f5/652047415.jpg;ALQ1370;17;1;2640.0;flat;rent;120.0;False;2;2;barrio Sindicat;Balears (Illes);Palma de Mallorca;Ciutat Antigua;es;39.5684328;2.6537777;False;https://www.idealista.com/inmueble/38661868/;False;NA;False;True
38661871;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ca/85/07/652038135.jpg;ALQ1371;10;3;1855.0;flat;rent;114.0;True;3;2;barrio La Seu - Cort - Monti-Sion;Balears (Illes);Palma de Mallorca;Ciutat Antigua;es;39.5675197;2.6520398;False;https://www.idealista.com/inmueble/38661871/;False;NA;False;False
38661861;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/37/01/e4/652044949.jpg;ALQ1374;22;3;1870.0;duplex;rent;108.0;True;2;2;barrio La Llotja;Balears (Illes);Palma de Mallorca;Ciutat Antigua;es;39.5672804;2.6437102;False;https://www.idealista.com/inmueble/38661861/;False;NA;False;False
38661865;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a5/80/b3/652049807.jpg;ALQ1373;31;3;2145.0;flat;rent;156.0;True;3;3;barrio Sindicat;Balears (Illes);Palma de Mallorca;Ciutat Antigua;es;39.5713203;2.6551447;False;https://www.idealista.com/inmueble/38661865/;False;NA;False;False
38661856;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d0/dd/cc/652043655.jpg;ALQ1379;24;4;1320.0;flat;rent;102.0;False;2;1;barrio La Missio - Mercat;Balears (Illes);Palma de Mallorca;Ciutat Antigua;es;39.5759094;2.6500186;False;https://www.idealista.com/inmueble/38661856/;False;NA;False;NA
38767646;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/70/d8/e0/652048783.jpg;PM1387;13;NA;3000.0;chalet;rent;216.0;False;4;3;barrio La Seu - Cort - Monti-Sion;Balears (Illes);Palma de Mallorca;Ciutat Antigua;es;39.5677623;2.6502286;False;https://www.idealista.com/inmueble/38767646/;False;good;False;NA
38870926;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/66/00/bb/652039867.jpg;BEN1398;22;1;3300.0;flat;rent;189.0;False;3;4;Portals Nous - Bendinat;Balears (Illes);Calvià;Portals Nous - Bendinat;es;39.5374978;2.578432;False;https://www.idealista.com/inmueble/38870926/;False;NA;False;NA
38835578;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/77/4c/24/248972123.jpg;PoligParcManacor_MP_LE;32;NA;3000.0;chalet;rent;150.0;False;3;2;Manacor Centro;Balears (Illes);Manacor;Manacor Centro;es;39.5370415;3.1914006;False;https://www.idealista.com/inmueble/38835578/;False;good;False;NA
38966617;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f7/5b/78/251251947.jpg;HII02200;14;NA;4000.0;chalet;rent;200.0;False;4;3;Calle de ses Serretes;Balears (Illes);Sant Josep de Sa Talaia;Cala Vedella - Cala Tarida - Cala Conta;es;38.903582;1.2272657;False;https://www.idealista.com/inmueble/38966617/;False;good;False;NA
39009662;https://img3.idealista.com/blur/WEB_LISTING/90/id.pro.es.image.master/a0/2c/2c/252148613.jpg;G131;11;bj;10000.0;flat;rent;1000.0;True;9;3;barrio La Seu - Cort - Monti-Sion;Balears (Illes);Palma de Mallorca;Ciutat Antigua;es;39.5653361;2.6514752;False;https://www.idealista.com/inmueble/39009662/;False;good;False;False
25344779;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c4/f3/62/29224491.jpg;32196;10;NA;6000.0;chalet;rent;750.0;False;5;5;barrio Establiments - Son Sardina;Balears (Illes);Palma de Mallorca;Establiments - Son Sardina;es;39.6175747;2.6306074;False;https://www.idealista.com/inmueble/25344779/;True;good;False;NA
86966394;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/29/f7/5e/255974740.jpg;NA;13;1;900.0;flat;rent;70.0;True;2;1;Calle Es Pinaró, 2;Balears (Illes);Son Servera;NA;es;39.6317244;3.3980017;True;https://www.idealista.com/inmueble/86966394/;True;good;False;True
39400696;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/1f/e2/30/272835205.jpg;002352;23;NA;4500.0;chalet;rent;500.0;False;4;4;Calle Mestre Lluc Mesquida;Balears (Illes);Marratxi;Sa Cabaneta;es;39.6209265;2.7368852;False;https://www.idealista.com/inmueble/39400696/;True;good;False;NA
922769;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4e/3e/41/6432552.jpg;NA;8;1;3000.0;flat;rent;70.0;True;3;2;Cas Catala;Balears (Illes);Calvià;Cas Catala;es;39.54317;2.59438;False;https://www.idealista.com/inmueble/922769/;False;good;False;True
